,Unnamed: 0,Unnamed: 0.1,Kline open time,Coin,Open price,Daily Open price pct_change,High price,Daily High price pct_change,Low price,Daily Low price pct_change,Close price,Daily Close price pct_change,relative_strength
3790,3790,60,2023-01-03,DASH/USDT,43.57,0.0319753671245854,43.93,-0.0029505220154335,42.24,0.0183220829315333,42.86,-0.0160697887970615,-115.98679633804237
3791,3791,61,2023-01-04,DASH/USDT,42.84,-0.0167546476933668,46.4,0.0562258137946733,42.67,0.0101799242424243,45.79,0.0683621091927204,6.507309487203197
3792,3792,62,2023-01-05,DASH/USDT,45.77,0.0683940242763772,46.2,-0.004310344827586,44.55,0.0440590578861026,44.9,-0.0194365582004805,17.693841320314515
3793,3793,63,2023-01-06,DASH/USDT,44.91,-0.0187896001747871,46.09,-0.0023809523809523,43.87,-0.0152637485970819,45.84,0.0209354120267262,2.9661760515323956
3794,3794,64,2023-01-07,DASH/USDT,45.83,0.0204854152749944,46.98,0.0193100455630286,45.83,0.0446774561203555,46.34,0.0109075043630018,-26.114306332016994
3795,3795,65,2023-01-08,DASH/USDT,46.35,0.011346279729435,48.11,0.0240527884206045,45.7,-0.0028365699323585,47.81,0.0317220543806646,2.916991473692544
3796,3796,66,2023-01-09,DASH/USDT,47.81,0.0314994606256742,50.78,0.055497817501559,47.71,0.0439824945295403,48.8,0.0207069650700688,7.032825253541672
3797,3797,67,2023-01-10,DASH/USDT,48.79,0.0204978038067349,49.69,-0.0214651437573848,47.61,-0.0020959966464053,48.39,-0.0084016393442621,-0.550021132172119
3798,3798,68,2023-01-11,DASH/USDT,48.39,-0.0081984013117442,49.22,-0.0094586435902596,46.6,-0.0212140306658265,49.03,0.0132258731142798,0.4589493756253404
3799,3799,69,2023-01-12,DASH/USDT,49.05,0.013639181649101,49.95,0.014831369362048,47.08,0.0103004291845492,49.33,0.0061187028349989,0.12153457739010189
3800,3800,70,2023-01-13,DASH/USDT,49.33,0.0057084607543322,52.56,0.0522522522522521,48.57,0.0316482582837722,51.38,0.0415568619501318,0.7229219261453338
3801,3801,71,2023-01-14,DASH/USDT,51.38,0.0415568619501318,54.25,0.0321537290715372,49.8,0.0253242742433601,51.51,0.0025301673803035,0.04920067244062664
3802,3802,72,2023-01-15,DASH/USDT,51.52,0.0027247956403269,52.46,-0.0329953917050691,49.75,-0.0010040160642569,51.7,0.0036886041545332,-0.9265692276421982
3803,3803,73,2023-01-16,DASH/USDT,51.7,0.0034937888198758,52.9,0.0083873427373235,47.81,-0.0389949748743718,49.3,-0.0464216634429401,-3.084162815690965
3804,3804,74,2023-01-17,DASH/USDT,49.3,-0.0464216634429401,51.0,-0.0359168241965973,48.31,0.0104580631667015,49.28,-0.0004056795131844,0.16905161641414915
3805,3805,75,2023-01-18,DASH/USDT,49.3,0.0,50.1,-0.0176470588235293,45.86,-0.0507141378596563,46.82,-0.0499188311688312,2.306872375421636
3806,3806,76,2023-01-19,DASH/USDT,46.8,-0.0507099391480729,49.15,-0.0189620758483034,46.64,0.0170082860880942,49.03,0.0472020504058094,2.476451286929401
3807,3807,77,2023-01-20,DASH/USDT,49.01,0.0472222222222222,52.0,0.0579857578840286,48.8,0.0463121783876501,51.82,0.0569039363654904,0.7514674023136491
3808,3808,78,2023-01-21,DASH/USDT,51.79,0.0567231177310754,54.0,0.0384615384615385,49.98,0.0241803278688523,52.4,0.0111925897336935,2.180718428205867
3809,3809,79,2023-01-22,DASH/USDT,52.42,0.012164510523267,53.42,-0.0107407407407407,50.37,0.0078031212484994,51.39,-0.0192748091603053,5.803470044195771
3810,3810,80,2023-01-23,DASH/USDT,51.4,-0.0194582220526516,53.98,0.0104829651815798,51.35,0.0194560254119515,51.97,0.0112862424596225,1.228779975183461
3811,3811,81,2023-01-24,DASH/USDT,51.96,0.0108949416342412,52.91,-0.0198221563542052,48.05,-0.0642648490749757,49.0,-0.0571483548200885,4.618554858995712
